Consumption (m³), Start, End
0.000, 2024-03-14T00:00:00+00:00, 2024-03-14T00:30:00+00:00
0.000, 2024-03-14T00:30:00+00:00, 2024-03-14T01:00:00+00:00
0.000, 2024-03-14T01:00:00+00:00, 2024-03-14T01:30:00+00:00
0.000, 2024-03-14T01:30:00+00:00, 2024-03-14T02:00:00+00:00
0.000, 2024-03-14T02:00:00+00:00, 2024-03-14T02:30:00+00:00
0.000, 2024-03-14T02:30:00+00:00, 2024-03-14T03:00:00+00:00
0.000, 2024-03-14T03:00:00+00:00, 2024-03-14T03:30:00+00:00
0.000, 2024-03-14T03:30:00+00:00, 2024-03-14T04:00:00+00:00
0.000, 2024-03-14T04:00:00+00:00, 2024-03-14T04:30:00+00:00
0.000, 2024-03-14T04:30:00+00:00, 2024-03-14T05:00:00+00:00
0.000, 2024-03-14T05:00:00+00:00, 2024-03-14T05:30:00+00:00
0.000, 2024-03-14T05:30:00+00:00, 2024-03-14T06:00:00+00:00
0.000, 2024-03-14T06:00:00+00:00, 2024-03-14T06:30:00+00:00
0.000, 2024-03-14T06:30:00+00:00, 2024-03-14T07:00:00+00:00
0.000, 2024-03-14T07:00:00+00:00, 2024-03-14T07:30:00+00:00
0.650, 2024-03-14T07:30:00+00:00, 2024-03-14T08:00:00+00:00
0.360, 2024-03-14T08:00:00+00:00, 2024-03-14T08:30:00+00:00
0.012, 2024-03-14T08:30:00+00:00, 2024-03-14T09:00:00+00:00
0.000, 2024-03-14T09:00:00+00:00, 2024-03-14T09:30:00+00:00
0.021, 2024-03-14T09:30:00+00:00, 2024-03-14T10:00:00+00:00
0.000, 2024-03-14T10:00:00+00:00, 2024-03-14T10:30:00+00:00
0.000, 2024-03-14T10:30:00+00:00, 2024-03-14T11:00:00+00:00
0.000, 2024-03-14T11:00:00+00:00, 2024-03-14T11:30:00+00:00
0.000, 2024-03-14T11:30:00+00:00, 2024-03-14T12:00:00+00:00
0.000, 2024-03-14T12:00:00+00:00, 2024-03-14T12:30:00+00:00
